;Ticker;Setor;QuantidadeAtivos
0;ABCP11;Shoppings;1
1;AFHI11;Títulos e Val. Mob.;0
2;AIEC11;Lajes Corporativas;2
3;ALMI11;Lajes Corporativas;1
4;ALZM11;Títulos e Val. Mob.;0
5;ALZR11;Logística;15
6;APTO11;Híbrido;0
7;ARCT11;Híbrido;4
8;ARRI11;Títulos e Val. Mob.;0
9;ATSA11;Shoppings;1
10;BARI11;Títulos e Val. Mob.;0
11;BBFI11B;Lajes Corporativas;2
12;BBFO11;Títulos e Val. Mob.;0
13;BBGO11;Títulos e Val. Mob.;0
14;BBIM11;Títulos e Val. Mob.;0
15;BBPO11;Lajes Corporativas;64
16;BBRC11;Outros;20
17;BCFF11;Títulos e Val. Mob.;0
18;BCIA11;Títulos e Val. Mob.;0
19;BCRI11;Títulos e Val. Mob.;0
20;BICE11;Títulos e Val. Mob.;0
21;BICR11;Títulos e Val. Mob.;0
22;BLCA11;Lajes Corporativas;1
23;BLCP11;Outros;2
24;BLMC11;Outros;0
25;BLMG11;Logística;4
26;BLMO11;Lajes Corporativas;1
27;BLMR11;Títulos e Val. Mob.;0
28;BMLC11;Lajes Corporativas;2
29;BNFS11;Outros;18
30;BPFF11;Títulos e Val. Mob.;0
31;BPML11;Shoppings;7
32;BRCO11;Logística;10
33;BRCR11;Híbrido;15
34;BREV11;Híbrido;12
35;BRIP11;Híbrido;0
36;BRLA11;Híbrido;0
37;BTAL11;Outros;7
38;BTCR11;Títulos e Val. Mob.;0
39;BTLG11;Logística;16
40;BTRA11;Outros;0
41;BTSG11;Híbrido;0
42;BTSI11;Híbrido;0
43;BTWR11;Lajes Corporativas;1
44;BZLI11;Títulos e Val. Mob.;0
45;CACR11;Híbrido;0
46;CARE11;Híbrido;0
47;CBOP11;Lajes Corporativas;1
48;CCRF11;Títulos e Val. Mob.;0
49;CEOC11;Lajes Corporativas;1
50;CJCT11;Lajes Corporativas;1
51;CNES11;Lajes Corporativas;1
52;CORM11;Híbrido;0
53;CPFF11;Híbrido;0
54;CPTS11;Títulos e Val. Mob.;0
55;CRFF11;Títulos e Val. Mob.;0
56;CTXT11;Lajes Corporativas;1
57;CVBI11;Títulos e Val. Mob.;0
58;CXAG11;Outros;0
59;CXCE11B;Outros;1
60;CXCO11;Lajes Corporativas;0
61;CXRI11;Híbrido;0
62;CXTL11;Logística;3
63;CYCR11;Títulos e Val. Mob.;0
64;DEVA11;Títulos e Val. Mob.;0
65;DRIT11B;Lajes Corporativas;6
66;DVFF11;Híbrido;0
67;EDFO11B;Lajes Corporativas;1
68;EDGA11;Lajes Corporativas;1
69;EQIR11;Títulos e Val. Mob.;0
70;ERCR11;Híbrido;0
71;EURO11;Logística;6
72;EVBI11;Híbrido;4
73;FAED11;Outros;3
74;FAMB11B;Lajes Corporativas;1
75;FATN11;Híbrido;7
76;FCFL11;Outros;1
77;FEXC11;Títulos e Val. Mob.;0
78;FIGS11;Shoppings;2
79;FIIB11;Híbrido;1
80;FIIP11B;Logística;7
81;FISC11;Lajes Corporativas;0
82;FIVN11;Shoppings;1
83;FLCR11;Títulos e Val. Mob.;0
84;FLMA11;Híbrido;2
85;FLRP11;Shoppings;1
86;FMOF11;Lajes Corporativas;1
87;FPAB11;Lajes Corporativas;1
88;FVPQ11;Shoppings;1
89;GALG11;Híbrido;6
90;GAME11;Híbrido;0
91;GCFF11;Títulos e Val. Mob.;0
92;GCRA11;Híbrido;0
93;GCRI11;Títulos e Val. Mob.;0
94;GESE11B;Outros;0
95;GGRC11;Logística;20
96;GSFI11;Shoppings;10
97;GTWR11;Lajes Corporativas;1
98;HAAA11;Lajes Corporativas;1
99;HABT11;Títulos e Val. Mob.;0
100;HBRH11;Híbrido;3
101;HCHG11;Outros;0
102;HCRI11;Hospital;1
103;HCTR11;Outros;0
104;HFOF11;Títulos e Val. Mob.;0
105;HGBS11;Shoppings;17
106;HGCR11;Títulos e Val. Mob.;0
107;HGFF11;Títulos e Val. Mob.;0
108;HGIC11;Títulos e Val. Mob.;0
109;HGLG11;Logística;17
110;HGPO11;Lajes Corporativas;2
111;HGRE11;Lajes Corporativas;21
112;HGRS11;Residencial;0
113;HGRU11;Híbrido;17
114;HLOG11;Logística;3
115;HOSI11;Híbrido;2
116;HPDP11;Shoppings;1
117;HRDF11;Híbrido;0
118;HREC11;Títulos e Val. Mob.;0
119;HSAF11;Títulos e Val. Mob.;0
120;HSLG11;Logística;5
121;HSML11;Shoppings;6
